net,length_um
io_out[24],6.63
_164_,6.21
_201_,6.21
_222_,6.16
net73,6.07
_185_,5.6
_113_,5.04
_200_,5.04
_091_,4.53
_191_,4.02
_241_,3.92
_158_,2.9
_203_,2.9
_176_,2.85
_129_,2.8
_153_,2.8
_214_,2.8
_219_,2.24
_227_,2.24
_206_,1.68
